wage,educ,sex,exper,union
9,10,M,27,Not
5.5,12,M,20,Not
3.8,12,F,4,Not
10.5,12,F,29,Not
15,12,M,40,Union
9,16,F,27,Not
9.57,12,F,5,Union
15,14,M,22,Not
11,8,M,42,Not
5,12,F,14,Not
24.98,17,M,18,Not
20.4,17,M,3,Not
25,14,M,4,Union
13.98,14,M,14,Not
3.5,12,M,35,Not
5,14,M,0,Not
10,16,M,7,Union
15,16,M,26,Union
5.83,13,M,3,Not
9.1,13,M,16,Not
11.25,17,F,32,Not
13,12,M,25,Union
8,14,F,15,Union
4.28,12,F,38,Not
7.88,16,M,17,Not
6.94,12,F,7,Not
24.98,17,F,5,Not
10,14,M,22,Not
13.75,14,M,21,Not
5.62,13,F,2,Not
14.67,14,M,16,Not
24.98,16,M,18,Not
12,12,M,14,Not
15,18,M,12,Not
5.77,16,M,3,Not
12.65,17,F,13,Not
11.71,16,F,42,Not
13,12,M,8,Not
12.5,15,F,6,Not
22.5,16,M,22,Not
11.25,16,F,3,Not
15.38,16,M,33,Not
7.7,13,F,8,Union
11.84,12,M,26,Not
5,14,M,0,Not
6.5,12,M,28,Not
9,8,M,33,Union
3.35,12,M,0,Not
4.5,12,F,7,Not
10.53,14,F,12,Not
3.5,9,M,47,Union
15,16,M,12,Not
8.5,12,F,25,Not
9.17,12,F,44,Not
9.6,9,M,33,Union
6.88,8,F,22,Not
13.95,18,F,14,Not
10,14,M,22,Not
3.75,12,F,41,Not
8,12,F,8,Not
11.67,12,F,43,Not
8.89,8,F,29,Not
4,12,M,6,Union
5.5,12,F,21,Not
3.35,16,M,3,Not
10.81,12,F,40,Not
7,12,M,5,Not
10,13,M,34,Union
5.4,16,F,10,Not
7.5,12,F,10,Not
11.25,12,M,41,Union
10,10,F,25,Union
4,13,M,0,Not
13.51,18,M,14,Union
6.75,12,M,22,Not
14.29,14,F,32,Not
9.75,15,F,9,Not
3.35,12,F,0,Not
3.4,8,F,49,Not
5.62,14,F,32,Not
7,12,M,7,Union
10,16,F,10,Not
6.1,10,F,44,Union
4.17,12,F,27,Not
4.8,12,F,16,Not
5.75,12,M,3,Not
4.75,12,M,8,Not
9.37,17,M,7,Union
5.25,12,F,8,Not
4.95,9,F,42,Not
19.38,16,F,11,Not
19.98,12,M,23,Not
4,12,M,4,Not
5,12,F,0,Not
10.58,14,M,25,Not
10,12,M,22,Union
7.38,14,F,15,Not
12.5,15,M,10,Not
4,16,F,20,Not
15.03,12,F,24,Not
16,12,M,12,Not
3.56,12,F,12,Not
4.5,12,M,16,Not
4.55,12,F,4,Not
3.6,12,F,43,Not
8,12,F,14,Not
4.75,12,F,10,Not
6.73,12,M,2,Not
11.11,12,M,28,Not
6,7,F,15,Not
10,12,M,20,Not
11.25,12,F,30,Not
3.95,12,F,9,Not
17.5,16,M,13,Not
3.55,13,F,1,Not
6,16,M,8,Not
22,14,M,15,Not
6.25,12,F,6,Not
4.5,7,M,14,Not
10.32,13,F,28,Not
12.2,14,M,10,Not
18.16,17,M,14,Not
15,16,M,10,Not
8.75,13,F,10,Not
19.98,14,M,44,Not
6.67,16,F,10,Union
9.63,14,M,22,Union
5.5,11,M,18,Union
8,12,F,9,Not
20,18,F,19,Not
9.5,17,F,14,Not
11.79,16,F,6,Union
13.89,16,F,17,Not
5.5,11,F,24,Not
7,11,F,12,Not
9.65,12,F,38,Not
10.61,15,F,33,Not
3.75,2,M,16,Not
12,14,F,10,Not
8.56,14,F,14,Not
16.14,14,M,16,Not
3.75,11,M,11,Not
9,16,F,6,Not
13.12,12,F,33,Not
13.2,16,M,10,Not
9.25,12,M,19,Not
5,12,M,4,Not
6,17,F,3,Union
7,12,F,32,Not
4.7,8,M,19,Not
7.5,16,F,22,Not
7,18,M,33,Not
11.22,18,M,19,Not
5.71,18,M,3,Not
5.5,12,M,12,Not
9,12,M,16,Not
4.13,12,F,4,Not
10,12,M,11,Union
7.5,12,M,17,Not
3.65,11,M,16,Not
8.89,12,M,18,Not
18,18,M,15,Not
3.35,14,M,0,Not
13.45,16,M,8,Not
22.5,16,M,17,Not
19,18,M,13,Not
8.93,12,F,18,Not
7,11,F,16,Not
4.17,14,F,24,Not
9.83,12,M,23,Not
6.67,12,M,1,Not
7,12,F,10,Union
3.64,12,F,42,Not
22.83,18,F,37,Not
5,12,F,14,Not
22.5,18,M,14,Not
12,12,F,11,Not
6.28,12,F,38,Not
4.5,12,F,3,Not
6,12,M,9,Not
6.75,10,M,13,Not
8.75,12,M,9,Not
13.28,16,M,11,Not
6.25,13,F,30,Not
8.99,12,F,15,Union
7.5,14,M,2,Not
12,17,F,24,Not
14,18,F,31,Union
16.42,14,M,19,Not
6.25,14,M,2,Not
10.5,12,M,4,Union
9.5,9,F,46,Union
3,6,F,43,Union
9.22,14,F,13,Not
4,12,F,15,Not
3.8,12,F,16,Not
6,12,F,19,Not
5,12,F,28,Not
15,12,M,42,Not
5.55,11,F,45,Union
9,16,M,7,Not
24.98,17,M,31,Not
8.49,12,F,24,Not
5,14,F,17,Not
22.2,12,M,26,Union
9.24,16,M,5,Union
8,16,F,17,Not
3.5,10,F,33,Not
3.35,13,F,2,Not
3.35,16,F,14,Not
20,16,F,28,Union
4,12,F,46,Not
18,16,M,38,Not
4.5,13,F,0,Not
7.81,12,F,1,Not
1.75,12,F,5,Not
5.2,18,F,13,Not
8.75,10,M,19,Not
5,12,M,5,Not
3.75,12,F,6,Not
5.95,13,M,9,Not
4,12,M,7,Not
7,3,M,55,Not
5,17,F,1,Not
4.62,6,F,33,Not
5.75,12,F,21,Not
24.98,18,M,29,Not
15.79,18,M,7,Not
15.56,16,M,10,Not
3.35,16,M,9,Not
18.16,18,M,7,Not
8,18,M,33,Union
6,13,M,31,Not
17.25,18,M,5,Not
5.5,16,F,2,Not
7.65,12,M,20,Not
6.25,16,M,4,Not
6.4,12,F,45,Not
6.58,12,F,24,Not
12.5,12,M,43,Not
13.33,18,M,10,Not
5.5,12,M,3,Not
11.25,15,M,5,Not
10.62,12,F,45,Not
8,12,F,43,Union
10.2,17,F,26,Union
5.79,12,F,42,Not
7.3,12,M,37,Not
44.5,14,F,1,Not
10.5,13,F,14,Not
9.36,12,M,8,Not
5.2,12,F,24,Not
4.25,12,F,20,Not
15.95,17,F,13,Union
22.5,15,M,12,Not
5,16,F,4,Not
5.3,12,M,14,Not
6.25,18,M,14,Not
10,18,F,13,Not
5.5,12,M,20,Not
6.8,9,F,30,Not
3,12,F,28,Not
10,16,M,14,Union
4.85,10,M,13,Not
9.42,12,M,32,Not
6,15,F,26,Not
4.25,13,F,0,Not
11.02,14,M,12,Union
12.16,12,F,32,Not
8.43,12,M,12,Not
11.43,12,M,3,Not
19.98,9,M,29,Not
6.88,14,F,10,Not
5.71,12,F,16,Union
3.35,12,F,8,Not
4.85,9,F,16,Not
5.75,12,F,15,Not
5.4,12,F,18,Not
13.16,12,F,38,Not
11.32,12,F,13,Not
8.75,13,M,18,Not
12.22,12,M,19,Union
5.25,10,M,15,Not
5.56,14,M,5,Not
4.59,12,F,36,Not
7.5,12,M,38,Not
12,12,M,5,Not
16,12,M,35,Union
3.35,11,M,3,Not
4.45,10,M,27,Not
4.25,12,F,29,Not
13.1,10,F,38,Not
7,10,M,9,Not
5.75,6,M,45,Not
6.5,8,M,27,Not
7.61,12,M,20,Not
20.5,16,M,14,Union
6.25,12,M,1,Not
3.84,11,F,25,Not
16.65,14,M,21,Not
11.25,17,F,10,Not
5.65,14,M,2,Not
6.5,11,M,17,Not
7.75,12,F,24,Not
6.93,12,M,26,Union
15,12,M,39,Union
7,7,M,42,Union
3.35,7,M,43,Not
6.5,12,M,5,Not
6.25,16,F,7,Not
5,13,F,6,Not
3.45,13,F,1,Not
8.8,14,M,41,Not
10,16,F,4,Not
4,11,F,25,Union
9.5,12,F,39,Not
10.43,14,F,15,Not
5.21,18,M,10,Not
7.5,12,F,20,Not
7,17,M,2,Not
10.78,11,M,28,Union
8.9,10,M,27,Union
3.75,16,F,13,Not
3.75,15,M,4,Not
9.45,12,M,13,Not
15,12,M,33,Union
3.6,12,F,6,Not
12,18,M,23,Union
10.62,16,F,6,Not
14,16,F,16,Not
5,16,M,3,Union
11.5,12,M,19,Union
13.71,12,M,43,Union
10.62,12,M,34,Not
7.45,12,F,25,Not
6.75,10,M,41,Union
5.87,17,F,6,Not
3.43,12,M,2,Not
4.35,8,F,37,Not
13,12,M,19,Union
14,5,M,44,Not
3.51,10,F,37,Not
4.3,13,M,8,Not
5.85,18,M,12,Not
6,12,M,8,Not
11,16,M,13,Union
21.25,13,M,32,Not
14.53,16,M,18,Not
6.85,12,M,8,Not
10,16,F,0,Not
10,16,F,7,Not
24.98,16,F,5,Not
3.75,12,F,17,Not
6.5,11,M,39,Not
5,12,M,4,Not
4.55,8,F,45,Not
6.5,12,M,8,Not
10.58,16,M,9,Not
9.56,12,M,23,Not
12,16,F,14,Not
8.5,12,F,16,Not
4.1,12,F,15,Not
4.5,12,F,15,Not
11.5,16,M,16,Not
8.9,14,M,13,Not
14.21,11,M,15,Union
13.65,16,M,11,Not
22.2,18,F,40,Not
15,18,F,11,Not
8.06,13,M,17,Not
6.75,12,M,12,Not
4.5,11,M,14,Not
7,12,F,26,Not
7.5,12,F,27,Not
7.5,12,F,16,Not
8.5,12,M,2,Not
8,7,M,44,Not
3.5,8,M,8,Not
12.5,12,M,9,Not
6,12,M,1,Union
5.25,16,F,2,Not
5,12,M,6,Not
3.5,11,F,17,Not
11,14,M,14,Union
7.5,12,M,3,Not
8.5,12,M,13,Not
12.5,12,M,11,Not
10.75,12,M,24,Union
12.5,12,F,14,Union
7.8,17,M,7,Not
12,17,M,13,Not
3.35,12,F,10,Not
19.88,12,M,13,Union
6,13,M,7,Not
4.22,8,F,39,Not
3.5,14,F,6,Not
12,12,M,20,Union
3.35,12,F,7,Not
9,12,M,20,Union
3.98,14,F,6,Not
5,12,F,39,Not
12.67,16,M,15,Not
17.25,15,M,31,Not
9.5,12,F,25,Not
14,11,M,13,Union
8.5,12,M,8,Union
4.25,12,F,2,Not
5.8,16,M,14,Not
11.25,13,M,14,Not
12,18,F,18,Union
11.25,12,F,28,Not
7.5,16,M,10,Union
8.2,14,M,17,Not
4.85,12,F,14,Not
4.75,12,F,2,Not
5.5,16,M,29,Not
9.5,11,M,29,Not
9.6,12,F,14,Not
4.55,13,F,33,Not
15.73,16,M,4,Not
9.86,15,M,13,Not
10,14,F,24,Not
5.8,13,M,5,Not
7.53,14,M,1,Not
9.75,11,M,37,Union
13,11,M,18,Union
10.28,15,F,10,Not
13.45,12,M,16,Union
12.57,12,M,12,Union
8.63,14,F,4,Not
13.26,12,M,16,Union
6.85,14,M,34,Union
12.47,13,M,10,Union
7.14,14,M,17,Not
12.5,13,F,16,Not
10,10,M,20,Not
10,10,M,12,Not
8.75,12,M,30,Not
9.37,16,F,26,Not
11.11,13,M,13,Not
5.1,8,F,21,Not
7.5,11,M,3,Not
3.4,8,F,29,Not
4.5,12,F,3,Not
6.25,18,M,27,Not
20.55,12,M,33,Not
8.4,13,M,17,Not
8,12,F,15,Not
8.5,9,M,38,Not
3.75,12,M,9,Not
9,12,M,10,Not
12.05,16,F,6,Not
4.5,12,F,7,Not
4.8,9,M,16,Not
6.5,10,M,30,Not
7.69,12,M,19,Not
9.33,12,F,15,Not
5,12,M,12,Not
6.1,12,F,33,Not
10.67,12,M,36,Not
3.5,12,F,25,Not
10,12,M,35,Union
9,13,M,8,Union
7.5,12,F,23,Not
5.71,18,M,7,Not
8.5,17,M,3,Not
4,12,M,8,Not
5.75,9,F,34,Union
5.25,12,M,2,Not
3.5,12,M,34,Not
4.5,11,M,2,Not
5.5,12,F,11,Not
6.25,13,F,4,Not
8.89,16,F,22,Union
5.25,12,F,45,Not
10.25,14,F,26,Not
6.25,14,F,12,Not
4.35,12,F,3,Not
17.86,13,M,36,Not
7.5,12,F,9,Union
6.25,16,F,7,Not
4.5,14,M,14,Not
6.4,12,F,6,Not
4.84,15,M,1,Union
4.15,11,M,4,Not
5.13,12,F,5,Not
5.26,8,F,38,Not
7.78,16,F,6,Not
13.07,13,M,9,Union
8,13,F,15,Not
7.67,15,F,11,Not
7.5,12,M,17,Not
2.85,12,M,1,Not
6.36,12,M,9,Not
3.5,9,M,48,Not
11.35,12,M,17,Union
5.5,12,F,33,Not
9.15,12,M,7,Not
7.96,14,F,12,Not
5.65,16,F,6,Not
6,4,M,54,Not
13.45,16,M,16,Not
3.65,11,F,8,Not
6.25,9,M,30,Union
5.15,13,M,1,Union
26.29,17,M,32,Not
2.01,13,M,0,Not
5,12,F,26,Not
8.75,11,F,36,Not
12.5,14,F,19,Not
4,12,M,12,Not
4.5,16,M,21,Not
6.5,12,F,11,Not
5.5,12,M,10,Not
6.88,17,F,15,Not
6.15,16,F,16,Not
7.78,12,M,23,Not
1,12,M,24,Not
12.5,17,F,13,Union
8.85,14,F,19,Union
4.35,11,F,20,Not
11.36,18,M,5,Not
8.93,8,M,47,Union
3.5,11,F,33,Not
26,14,M,21,Union
8,12,F,19,Not
16,14,M,20,Union
5.35,12,F,13,Not
23.25,17,F,25,Union
8.63,12,F,18,Not
18.5,14,F,13,Not
22.2,18,M,8,Not
16.26,12,M,14,Union
19.47,12,M,9,Not